,certif_AFNOR,certif_DHV,certif_EN,certif_MISC,certification,flat_AR,flat_area,flat_span,manufacturer,name,proj_AR,proj_area,proj_span,ptv_maxi,ptv_mini,size,source,weight,year
0,,,A,,A,4.8,22.1,10.3,Advance,Alpha 6,3.6,18.9,8.2,85.0,70.0,22,GliderBase,4.3,2015
1,,,A,,A,4.8,24.0,10.8,Advance,Alpha 6,3.6,20.6,8.6,95.0,80.0,24,GliderBase,4.55,2015
2,,,A,,A,4.8,26.1,11.2,Advance,Alpha 6,3.6,22.3,8.9,110.0,95.0,26,GliderBase,4.75,2015
3,,,A,,A,4.8,28.5,11.7,Advance,Alpha 6,3.6,24.4,9.3,125.0,110.0,28,GliderBase,5.25,2015
4,,,A,,A,4.8,31.9,12.4,Advance,Alpha 6,3.6,27.3,9.9,145.0,130.0,31,GliderBase,5.75,2015
5,,,,DGAC,DGAC,,,,Advance,Alpha 6 Motor,,,,130.0,60.0,24,GliderBase,,
6,,,,DGAC,DGAC,,,,Advance,Alpha 6 Motor,,,,140.0,70.0,26,GliderBase,,
7,,,,DGAC,DGAC,,,,Advance,Alpha 6 Motor,,,,150.0,85.0,28,GliderBase,,
8,,,,DGAC,DGAC,,,,Advance,Alpha 6 Motor,,,,150.0,100.0,31,GliderBase,,
9,,,B,,B,5.45,38.1,,Advance,Bibeta 6,4.0,,,180.0,100.0,38,GliderBase,6.7,2016
10,,,B,,B,5.45,40.8,,Advance,Bibeta 6,4.0,,,225.0,120.0,41,GliderBase,6.95,2016
11,,,B,,B,5.15,22.5,10.75,Advance,Epsilon 8,3.6,18.9,8.25,85.0,75.0,23,GliderBase,4.15,2016
12,,,B,,B,5.15,25.0,11.35,Advance,Epsilon 8,3.6,21.0,8.7,100.0,90.0,25,GliderBase,4.45,2016
13,,,B,,B,5.15,27.0,11.8,Advance,Epsilon 8,3.6,22.7,9.05,120.0,105.0,27,GliderBase,4.95,2016
14,,,B,,B,5.15,29.0,12.25,Advance,Epsilon 8,3.6,24.4,9.35,140.0,125.0,29,GliderBase,5.15,2016
15,,,,DGAC,DGAC,,,,Advance,Epsilon 8 Motor,,,,140.0,70.0,25,GliderBase,,
16,,,,DGAC,DGAC,,,,Advance,Epsilon 8 Motor,,,,150.0,80.0,27,GliderBase,,
17,,,,DGAC,DGAC,,,,Advance,Epsilon 8 Motor,,,,150.0,95.0,29,GliderBase,,
18,,,B,,B,5.2,22.1,10.73,Advance,Epsilon 9,3.68,18.5,8.26,77.0,60.0,22,GliderBase,4.15,2019
19,,,B,,B,5.2,23.9,11.15,Advance,Epsilon 9,3.68,20.0,8.59,88.0,70.0,24,GliderBase,4.4,2019
20,,,B,,B,5.2,25.9,11.61,Advance,Epsilon 9,3.68,21.7,8.94,100.0,80.0,26,GliderBase,4.65,2019
21,,,B,,B,5.2,27.8,12.03,Advance,Epsilon 9,3.68,23.3,9.26,114.0,92.0,28,GliderBase,4.95,2019
22,,,B,,B,5.2,29.8,12.45,Advance,Epsilon 9,3.68,25.0,9.59,128.0,105.0,30,GliderBase,5.25,2019
23,,,B,,B,5.6,21.8,11.1,Advance,Iota 2,4.23,18.8,8.9,77.0,60.0,21,GliderBase,4.3,2018
24,,,B,,B,5.6,23.7,11.5,Advance,Iota 2,4.23,20.4,9.3,88.0,70.0,23,GliderBase,4.6,2018
25,,,B,,B,5.6,25.7,12.0,Advance,Iota 2,4.23,22.2,9.7,100.0,80.0,25,GliderBase,4.85,2018
26,,,B,,B,5.6,27.7,12.5,Advance,Iota 2,4.23,23.9,10.0,114.0,92.0,27,GliderBase,5.15,2018
27,,,B,,B,5.6,29.7,12.9,Advance,Iota 2,4.23,25.6,10.4,128.0,105.0,29,GliderBase,5.4,2018
28,,,,,,7.05,22.0,12.45,Advance,Omega Xalps 2,5.25,18.9,9.94,85.0,70.0,22,GliderBase,3.3,2017
29,,,,,,7.05,23.0,12.73,Advance,Omega Xalps 2,5.25,19.7,10.16,97.0,80.0,23,GliderBase,3.5,2017
30,,,,,,7.05,24.55,13.15,Advance,Omega Xalps 2,5.25,21.0,10.5,110.0,90.0,24,GliderBase,3.7,2017
31,,,,Load,Load,5.7,17.0,9.8,Advance,Omikron,4.3,14.6,7.9,100.0,70.0,17,GliderBase,4.7,2016
32,,,,Load,Load,5.7,18.0,10.1,Advance,Omikron,4.3,15.5,8.2,110.0,75.0,18,GliderBase,4.8,2016
